ProductName,DiscountPrice,Image_Url,Category
"2-Minute Noodles Masala - Made With Quality Spices, Rich In Fibre",156.00,https://www.bigbasket.com/media/uploads/p/l/40125873_4-maggi-2-minute-noodles-masala.jpg,Snacks & Branded Foods
"2-Minute Instant Masala Noodles - Made With Quality Spices, Source Of Iron",52.50,https://www.bigbasket.com/media/uploads/p/l/266162_17-maggi-2-minute-instant-noodles-masala.jpg,Snacks & Branded Foods
Masala 2 Minute Instant Noodles,28.00,https://www.bigbasket.com/media/uploads/p/l/266165_14-maggi-masala-2-minute-instant-noodles.jpg,Snacks & Branded Foods
"2-Minute Instant Masala Noodles - Made With Quality Spices, Goodness Of Iron",109.00,https://www.bigbasket.com/media/uploads/p/l/266109_19-maggi-2-minute-instant-noodles-masala.jpg,Snacks & Branded Foods
Idly Dosa Batter,145.00,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,Snacks & Branded Foods
Idly & Dosa Batter,72.50,https://www.bigbasket.com/media/uploads/p/l/271205_14-id-fresho-idly-dosa-batter.jpg,Snacks & Branded Foods
"Bathing Bar Soap - Germ Protection, Original",456.00,https://www.bigbasket.com/media/uploads/p/l/1206304_6-dettol-bathing-bar-soap-germ-protection-original.jpg,Beauty & Hygiene
Bathing Bar Soap - Original,225.60,https://www.bigbasket.com/media/uploads/p/l/1208387_5-dettol-bathing-bar-soap-original.jpg,Beauty & Hygiene
"Original Bathing Bar Soap, Daily Protection from Germs",75.00,https://www.bigbasket.com/media/uploads/p/l/100008548_25-dettol-original-bathing-soap-bar-with-76-tfm-protects-from-germs.jpg,Beauty & Hygiene
Bathing Soap - Original,249.00,https://www.bigbasket.com/media/uploads/p/l/1200377_8-dettol-bathing-soap-original.jpg,Beauty & Hygiene
Bathing Soap - Original,132.00,https://www.bigbasket.com/media/uploads/p/l/1203036_6-dettol-bathing-soap-original.jpg,Beauty & Hygiene
"Bathing Bar Soap - Germ Protection, Original",360.00,https://www.bigbasket.com/media/uploads/p/l/1206303_6-dettol-bathing-bar-soap-germ-protection-original.jpg,Beauty & Hygiene
"Colgate Strong Teeth, 150 gm, India’s No: 1 Toothpaste Brand, Calcium-boost for 2X Stronger Teeth, Prevents cavities, Whitens Teeth,  Freshens Breath",85.00,https://www.bigbasket.com/media/uploads/p/l/20005547_11-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,Beauty & Hygiene
"Colgate Strong Teeth, 500 gm, India’s No: 1 Toothpaste Brand, Calcium-boost for 2X Stronger Teeth, Prevents cavities, Whitens Teeth,  Freshens Breath",219.60,https://www.bigbasket.com/media/uploads/p/l/40186855_5-colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath.jpg,Beauty & Hygiene
"Toothpaste - Strong Teeth, Dental Cream, Anti Cavity",325.36,https://www.bigbasket.com/media/uploads/p/l/1205003_5-colgate-toothpaste-strong-teeth-dental-cream-anti-cavity.jpg,Beauty & Hygiene
